Year,Return
1993,20.57720197316651
1994,-5.756257258872819
1995,30.703719107144
1996,26.139341122851334
1997,48.92669462145026
1998,21.527673708950395
1999,41.548478248907436
2000,-1.9348491367248006
2001,-7.032334075258692
2002,-34.58289737342163
2003,6.775545601829634
2004,2.743000494656185
2005,21.04951987322311
2006,3.6500670098161248
2007,-5.68724459426965
2008,-33.40644811298396
2009,22.087661511690598
2010,23.968222721860613
2011,5.376532627982266
2012,13.6824631276807
2013,26.57056909025382
2014,29.050491216129824
2015,12.983054358671964
2016,15.554930734276592
2017,7.006850749078197
2018,0.08006285667985912
2019,33.92293259892098
2020,8.317650626409916
2021,39.349123617025064
2022,-13.105335842860603
2023,21.81508500723533
